,question,contexts,ground_truth,evolution_type,metadata,episode_done
10,How can entrepreneurs bootstrap from initial customers to raise money?,"['This obviously raises the issue of how you’re supposed to do\nthat before you’ve raised money.\nTry to raise angel money, or bootstrap oW of initial customers\nor consulting contracts, or work on it aaer hours while keeping\nyour current job, or quit your job and live oW of credit cards for\na while.\nLots of entrepreneurs have done these things and succeeded —\nand of course, many have failed.\nNobody said this would be easy.\nThe most valuable thing you can do is actually build your prod-\nuct. When in doubt, focus on that.\nThe next most valuable thing you can do is get customers — or,']",Entrepreneurs can bootstrap by raising money from initial customers or consulting contracts.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
11,What determines the age optimum for quantity and quality of creative contributions?,"['ods when productivity is highest, the peak age for creative impact\nshould not vary as a function of either the success of the particular\ncontribution or the Xnal fame of the creator. …\nThus, even though an impressive lifetime output of works, and\nsubsequent distinction, is tied to precocity, longevity, and produc-\ntion rate, the expected age optimum for quantity and quality of\ncontribution is dependent solely on the particular form of creative\nexpression.\nWow, again.\nAnyone who demonstrates… an age decrement in achievement is\nlikely to provoke controversy. Aaer all, aging is a phenomenon easy']",The expected age optimum for quantity and quality of contribution is dependent solely on the particular form of creative expression.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 162, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
12,Why aren't jobs for life anymore in today's society?,"['great people the most!\nOh well. That’s the price we pay for living in a society where\njobs aren’t for life anymore.\nSo the right question is, how can we start\nwinning again?\nIn this post, I’m going to punt on large parts of the answer to\nthat question, as follows:\n•\nI already discussed the big company turnaround scenarioin\nmy last post in this series, which describes how to take a big\ncompany that is no longer winning and set it up to win again.\n•\nA company that was a hot startup a few years ago and grew\nfast but is now seeing growth slow has a slightly diWerent']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 91, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
13,How can you optimize your chances of raising money for a consumer Internet service?,"['for a consumer Internet service, establish a pattern of page view\ngrowth.\nThe whole theory of venture capital is that VCs are investing\nin risk — another term for venture capital is “risk capital” —\nbut the reality is that VCs will only take on so much risk, and\nthe best thing you can do to optimize your chances of raising\nmoney is to take out risk.\nPeel away at the onion.\nThen, once you’ve done that, recraa the pitch around the new\nfacts. Go do the pitches again. And repeat as necessary.\nAnd to end on a happy note, remember that “yes” can turn into']","The best thing you can do to optimize your chances of raising money is to take out risk. Peel away at the onion, then recraft the pitch around the new facts. Go do the pitches again and repeat as necessary.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
14,How does the shift from stock options to restricted stock affect the creation of value in a company?,"['of creating value. And new hires will by deXnition be people who\nare conservative and change-averse, as the people who want\nto swing for the fences and get rewarded for creating some-\nthing new will go somewhere else, where they will receive stock\noptions — in typically greater volume than anyone will ever\ngrant restricted stock — and have greater upside.\nAnd sure enough, in the wake of shiaing towards restricted\nstock and away from stock options, Microsoa’s stock has been\nYat as a pancake. The incentive works.\nNow, against that, it is true that stock options, particularly for', 'favor of restricted stock at Microsoa. [Gates] recalls asking: “How\nwill employees respond to getting a lottery ticket that gives them a\ndeXnite amount instead of one that could amount to nothing or a\nridiculous sum?”\nMr. BuWett’s reply, according to Mr. Gates, was: “My wife would\nrather have a ticket for one fur coat, than a ticket that gave her two\nor nothing.”\nOvert sexism aside, from an incentive standpoint the result of\nshiaing from stock options to restricted stock should be obvi-\nous: current employees will be incented to preserve value instead']","The shift from stock options to restricted stock affects the creation of value in a company by incentivizing current employees to preserve value instead of creating new value. New hires who are conservative and change-averse are more likely to join, as those who want to create something new and get rewarded for it will go elsewhere where they can receive stock options with greater upside.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 148, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}, {'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 148, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
15,What should a marketing person do to whiteboard out a launch for a new product?,"['For a marketing person — have them whiteboard out a launch\nfor your new product.\nThird, plan out and write down interview questions ahead of\ntime.\nI’m assuming that you know the right interview questions for\nthe role — and frankly, if you don’t, you probably shouldn’t be\nthe hiring manager for that position.\nThe problem I’m addressing is: most people don’t know how to\ninterview a candidate.\nAnd even people who do know how, aren’t necessarily good at\ncoming up with questions on the Yy.\nSo just make sure you have questions planned out and assigned\nto each interviewer ahead of time.']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 81, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
16,How has the market size for Internet business changed since the late 90's?,"['late 90’s — due to commodity hardware, open source soaware,\nmodern programming technologies, cheap bandwidth, the rise\nof third-party ad networks, and other infrastructure factors.\nAnd the market size for a new Internet business today is about\n10x bigger than it was in the late 90’s — there are about 10x\nmore people online (really!), and they are far more used to\ndoing things on the Internet today than they were in 1999.\n(Want evidence of that last point? Clothing purchases are now\nbigger than computer hardware and soaware sales online. I can']","The market size for a new Internet business today is about 10x bigger than it was in the late 90’s — there are about 10x more people online, and they are far more used to doing things on the Internet today than they were in 1999.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 188, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
17,Why does the CEO of a startup often experience loneliness?,"['sonal relationships within the group — so the desire to be liked\nis stronger, and the perceived risk from making decisions that\npeople won’t like is higher.\nA speciXc form of this dynamic in a startup is when you have\nmultiple founders, of whom one is the CEO. The founder who\nis the CEO inevitably discovers that it becomes very hard to stay\nclose personal friends with the other founders. As they say, it’s\nlonely at the top — if you’re doing your job right.\nThe Psychology of Entrepreneurial Misjudgment: Biases 1-6\n147']","The CEO of a startup often experiences loneliness because it becomes very hard to stay close personal friends with the other founders. This is a specific form of the dynamic where the desire to be liked is stronger, and the perceived risk from making decisions that people won’t like is higher.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 151, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
18,How can participating in internship and co-op programs benefit undergraduates before they graduate?,"['undergrads to do some of the work, and being a staW member at\na campus computer lab or research lab.\nAnd then aggressively pursue internship and co-op programs — to\nget real-world working experience at companies in your Xeld,\nbefore you even graduate. Target the best companies in your\nXeld, and go aaer the opportunities early and oaen.\nIf you do this right, by the time you graduate even with just an\nundergrad degree, you can have a year and a half of real work-\ning experience at high-quality companies plus another four\nyears of practical experience from an on-campus job under\nyour belt.\n110']","Participating in internship and co-op programs can benefit undergraduates before they graduate by providing them with real-world working experience at companies in their field. This experience can amount to a year and a half of real working experience at high-quality companies, in addition to practical experience from on-campus jobs.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 114, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
19,What is the importance of having a coherent message and strategy for a CEO during a turnaround?,"['coherent message and strategy.\nThen go dark again and go right back to work.\nOf course, there’s more to being the CEO of a turnaround than\nthese 9 steps. There are a thousand other things you’re going to\nhave to do. But these are the 9 most important.\nTo quote the great Tommy Lasorda: “This fucking job ain’t that\nfucking easy.”\nAppendix for media companies only:\nStep 10: For God’s sake, stop suing your customers.\nPart 1: Turnaround!\n85']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 89, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
20,"Who is John Perry, and what concept did he develop related to procrastination?","['like?\nStructured procrastination\nThis is a great one.\nThis one is liaed straight from the genius mind of John Perry,\na philosophy professor at Stanford. (Read his original descrip-\ntion, by all means. You even get to see a photo of him practicing\njumping rope with seaweed on a beach while work awaits. Out-\nstanding.)\nThe gist of Structured Procrastination is that you should never\nXght the tendency to procrastinate — instead, you should use it\nto your advantage in order to get other things done.\nGenerally in the course of a day, there is something you have to']",John Perry is a philosophy professor at Stanford who developed the concept of Structured Procrastination. The idea is to use the tendency to procrastinate to your advantage in order to get other things done.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 135, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
21,"When a startup's competitive juices get flowing, what should the team consider before fixating on a competitor?","['developing a large market, as opposed to Xghting over a small\nmarket.\nSo when your startup’s competitive juices get Yowing — espe-\ncially for the Xrst time — and you Xnd yourself Xxated on a\ncompetitor, be sure to take a step back and say, is this really\nwhat we want to be focused on right now — is the market we’re\nboth in really large enough to warrant this? If so, sure, go for it,\nguns blazing. But if not, stepping back and thinking about how\nto focus instead on creating a large market might be more valu-\nable.\nA variant on this dynamic is letting your competitor determine']","The team should consider whether the market they are both in is really large enough to warrant the focus on the competitor. If it is, they can proceed with full effort. If not, they should think about how to focus on creating a large market instead.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 153, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
22,What defines the caliber of a startup team?,"['Let’s start by deXning terms.\nThe caliber of a startup team\nteam can be deXned as the suitability of\nthe CEO, senior staW, engineers, and other key staW relative to\nthe opportunity in front of them.\nYou look at a startup and ask, will this team be able to optimally\nexecute against their opportunity? I focus on eWectiveness as\nopposed to experience, since the history of the tech industry is\nfull of highly successful startups that were staWed primarily by\npeople who had never “done it before”.\nThe quality of a startup’s pr\nproduct\noduct can be deXned as how impres-']","The caliber of a startup team can be defined as the suitability of the CEO, senior staff, engineers, and other key staff relative to the opportunity in front of them.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 30, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
